author,local,country
A Tahmid,?,?
A. Nandakumar,?,?
Alan MacCormack, Harvard Business School,USA
Alexander Chatzigeorgiou, University of Macedonia,Grécia
Alexander von Zitzewitz,?,?
Alexandra Szynkarski,?,?
Alfred Zimmermann, Reutlingen University,Alemanha
Andrea Biaggi, campus.unimib.it,Itália
Andriy Shapochka,?,?
Andrzej Zalewski,?,?
Antonela Tommasel, ISISTAN CONICET-UNICEN,Argentina
Antonio Martini, University of Oslo,Suécia
Apostolos Ampatzoglou, University of Macedonia,Grécia
Areti Ampatzoglou, University of Groningen,Nederland
Bill Curtis, CAST Software,USA
Boris Perez,?,?
Chris Carlson,?,?
Claudia Raibulet, Universita' degli Studi di Milano-Bicocca,Itália
Clemente Izurieta, Montana State University,USA
Damian A. Tamburri, TU/e - JADS,Nederland
Daniel J. Sturtevant,?,?
Dario Correal,?,?
Darius Sas, University of Groningen,Nederland
David Rice,?,?
Di Cui,?,?
Diomidis Spinellis, AUEB and TUDelft,Nederland
E Shihab,?,?
Elvira-Maria Arvanitou, University of Macedonia,Grécia
Erik Sikander,?,?
Francesca Arcelli Fontana, disco.unimib.it,Itália
Francis Chew,?,?
Frederick Webber,?,?
G Sierra,?,?
Geir Kjetil Hanssen, SINTEF Digital,Suécia
Guenther Ruhe, University of Calgary,Canadá
Gunnar Brataas, SINTEF Digital,Suécia
Hernan Astudillo, UTFSM,Chile
Hongzhou Fang,?,?
Ilaria Pigazzini, University of Milano - Bicocca,Itália
Ioannis Stamelos, Aristotle University,Grécia
Ipek Ozkaya, Carnegie Mellon University Software Engineering Institute,USA
Jan Bosch, Chalmers University of Technology,Suécia
Jay Sappidi,?,?
Jeremy Ludwig, Stottler Henk Associates - Inc,USA
Jonas Fritzsch, University of Stuttgart,Alemanha
Jouni Markkula, University of Oulu,Finlândia
Justus Bogner, Justus Bogner,Alemanha
Kali Kimball,?,?
Kari Systa, Tampere University of Technology,Finlândia
Lu Xiao,?,?
M. Manoj Kumar,?,?
Maleknaz Nayebi, York University,Canadá
Marco Gonzalez-Rojas,?,?
Marco Zanoni, Università degli Studi di Milano Bicocca,Itália
Markku Oivo Markku Oivo, University of Oulu,Finlândia
Michel Chaudron,  Eindhoven University of Technology,Nederland
N Tsantalis,?,?
Nicolas Guelfi, University of Luxembourg,Luxemburgo
Niel Madlani,?,?
Paris Avgeriou,University of Groningen,Nederland
Peggy Skiada,?,?
Pekka Abrahamsson, University of Jyväskylä,Finlândia
Peng Liang,?,?
Philippe Kruchten, University of British Columbia,Canadá
Qiong Feng, Nanjing University of Science and Technology,China
Ran Mo,?,?
Riccardo Roveda, Università degli studi di Milano – Bicocca,Itália
Rick Kazman, University of Hawaii,USA
Robert Kaufmann,?,?
Robert L. Nord, carnegie mellon university,USA
Roberto Verdecchia, Vrije Universiteit Amsterdam,Holanda
Sam Odeh,?,?
Samuli Saukkonen,?,?
Sandun Dasanayake, University of Oulu,Finlândia
Sanja Aaramaa,?,?
Serge Haziyev, Advanced Technologies at SoftServe Inc,USA
Stefan Wagner,?,?
Stefano Basciano,?,?
Steven Xu,?,?
Sunil L Karlekar,?,?
Terese Besker, Chalmers University of Technology,Suécia
Tessa Valentien,?,?
Ting Liu,?,?
Ulf Eliasson, Volvo Cars,Suécia
Uwe Zdun, University of Vienna,Austria
Volodymyr Fedak,?,?
Will Snipes,?,?
Yuanfang Cai, Drexel University (Philadeuphia),USA
Zengyang Li, Central China Normal University (Wuhan),China